code,title
11-9030,Education and Childcare Administrators
13-1070,Human Resources Workers
13-2070,Credit Counselors and Loan Officers
15-1230,Computer Support Specialists
17-2051,Civil Engineers
17-2070,Electrical and Electronics Engineers
17-2110,"Industrial Engineers, Including Health and Safety"
19-2010,Astronomers and Physicists
19-3090,Miscellaneous Social Scientists and Related Workers
25-2030,Secondary School Teachers
25-9040,Teaching Assistants
27-1010,Artists and Related Workers
27-4030,"Television, Video, and Film Camera Operators and Editors"
29-1020,Dentists
29-2090,Miscellaneous Health Technologists and Technicians
35-2010,Cooks
39-3010,Gambling Services Workers
41-2010,Cashiers
41-4010,"Sales Representatives, Wholesale and Manufacturing"
41-9010,"Models, Demonstrators, and Product Promoters"
41-9020,Real Estate Brokers and Sales Agents
45-2090,Miscellaneous Agricultural Workers
49-2020,Radio and Telecommunications Equipment Installers and Repairers
49-9060,Precision Instrument and Equipment Repairers
51-2020,"Electrical, Electronics, and Electromechanical Assemblers"
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4120,"Welding, Soldering, and Brazing Workers"
51-6040,Shoe and Leather Workers
51-6060,"Textile Machine Setters, Operators, and Tenders"
51-8010,"Power Plant Operators, Distributors, and Dispatchers"
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders"
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
51-9120,Painting Workers
53-2020,Air Traffic Controllers and Airfield Operations Specialists
53-3030,Driver/Sales Workers and Truck Drivers
