2018 SOC Code,2018 SOC Direct Match Title
11-1011,Admiral
11-1011,CEO
11-1011,Chief Executive Officer
11-1011,Chief Financial Officer
11-1011,Chief Operating Officer
11-1011,Chief Sustainability Officer
11-1011,Commissioner of Internal Revenue
11-1011,COO
11-1011,County Commissioner
11-1011,Government Service Executive
11-1011,Governor
11-1011,Mayor
11-1011,School Superintendent
11-1011,University President
11-1021,Department Store General Manager
11-1021,Department Store Manager
11-1021,General Manager
11-1021,General Superintendent
11-1021,Manufacturing Operations Manager
11-1021,Operational Risk Manager
11-1021,Operations Manager
11-1021,Radio Station Manager
11-1021,Television Store Manager
11-1031,City Alderman
11-1031,City Council Member
11-1031,Congressional Representative
11-1031,Councilor
11-1031,Legislator
11-1031,Member of Congress
11-1031,Selectman
11-1031,Senator
11-1031,Tribal Council Member
11-2011,Advertising Director
11-2011,Advertising Executive
11-2011,Advertising Manager
11-2011,Classified Advertising Manager
11-2011,Promotions Director
11-2011,Promotions Manager
11-2011,VP Advertising
11-2011,VP Promotions
11-2021,Internet Marketing Manager
11-2021,Marketing Administrator
11-2021,Marketing Director
11-2021,VP Marketing
11-2022,District Sales Manager
11-2022,E-Commerce Director
11-2022,Export Manager
11-2022,Regional Sales Manager
11-2022,Sales Account Manager
11-2022,Sales Director
11-2022,Territory Sales Manager
11-2032,Communication Manager
11-2032,Public Affairs Director
11-2032,Public Information Director
11-2032,Public Information Relations Manager
11-2032,Public Relations Director
11-2032,Public Relations Manager
11-2032,Publicity Director
11-2033,Donor Relations Manager
11-2033,Foundation Director
11-2033,Funding Coordinator
11-2033,Fundraising Director
11-3012,Business Office Manager
11-3012,Business Unit Manager
11-3012,Records and Information Manager
11-3012,Records Management Director
11-3012,University Registrar
11-3013,Conference Center Manager
11-3013,Director of University Housing
11-3013,Stadium Manager
11-3021,Application Development Director
11-3021,Chief Technology Officer
11-3021,Computer Operations Manager
11-3021,Computer Security Manager
11-3021,Data Operations Director
11-3021,Data Processing Manager
11-3021,Information Systems Director
11-3021,Information Systems Manager
11-3021,Information Technology Director
11-3021,Information Technology Systems Director
11-3021,Internet Technology Manager
11-3021,Management Information Systems Director
11-3021,MIS Director
11-3031,Bank Branch Manager
11-3031,Banking Center Manager
11-3031,Banking Manager
11-3031,City Comptroller
11-3031,City Treasurer
11-3031,Comptroller
11-3031,Credit Manager
11-3031,Financial Director
11-3031,Financial Officer
11-3031,Fiscal Manager
11-3031,International Bank Manager
11-3031,Residential Mortgage Manager
11-3051,Industrial Production Manager
11-3051,Manufacturing Director
11-3051,Plant Chief
11-3051,Plant Manager
11-3051,Plant Superintendent
11-3051,Production Control Manager
11-3061,Contract Administrator
11-3061,Contracting Manager
11-3061,Director of Strategic Sourcing
11-3061,Procurement Manager
11-3061,Purchasing Director
11-3061,Sourcing Manager
11-3071,Airport Manager
11-3071,Cold Storage Supervisor
11-3071,Distribution Center Manager
11-3071,Logistics Manager
11-3071,Logistics Supply Officer
11-3071,Marine Oil Terminal Superintendent
11-3071,Traffic Safety Administrator
11-3071,Transportation Manager
11-3071,Warehouse Manager
11-3071,Warehouse Operations Manager
11-3111,Compensation Director
11-3111,Employee Benefits Coordinator
11-3111,Employee Benefits Director
11-3111,Employee Benefits Manager
11-3111,Wage and Salary Administrator
11-3121,Employee Relations Manager
11-3121,Job Analysis Manager
11-3121,Labor Relations Director
11-3121,Personnel Administrator
11-3121,Personnel Director
11-3121,Personnel Manager
11-3121,Position Description Manager
11-3131,E-Learning Manager
11-3131,Employee Development Director
11-3131,Employee Development Manager
11-3131,Labor Training Manager
11-9013,Agricultural Crop Farm Manager
11-9013,Animal Husbandry Manager
11-9013,Aquaculture Farm Manager
11-9013,Beef Farm Operator
11-9013,Christmas Tree Farm Manager
11-9013,Dairy Farm Manager
11-9013,Fish Hatchery Manager
11-9013,Greenhouse Manager
11-9013,Hatchery Manager
11-9013,Orchard Manager
11-9021,Construction Coordinator
11-9021,Construction Superintendent
11-9021,General Contractor
11-9021,Masonry Contractor Administrator
11-9031,Childcare Center Administrator
11-9031,Childcare Center Director
11-9031,Early Head Start Director
11-9031,Head Start Director
11-9031,Prekindergarten Program Coordinator
11-9031,Preschool Director
11-9032,Elementary School Principal
11-9032,High School Principal
11-9032,Junior High School Principal
11-9032,K-12 School Principal
11-9032,K-8 School Principal
11-9032,Middle School Principal
11-9032,Secondary School Principal
11-9033,Continuing Education Director
11-9033,Director of Student Services
11-9033,Graduate School Dean
11-9033,Graduate Studies Dean
11-9033,Provost
11-9033,University Dean
11-9033,University Department Chair
11-9041,Electrical Engineering Director
11-9041,Engineering Design Manager
11-9041,Engineering Manager
11-9041,Engineering Research Manager
11-9041,Global Engineering Manager
11-9041,Mechanical Engineering Director
11-9041,Process Engineering Manager
11-9051,Banquet Director
11-9051,Banquet Manager
11-9051,Cafeteria Director
11-9051,Food and Beverage Manager
11-9051,Food Service Director
11-9051,Restaurant General Manager
11-9051,Tavern Operator
11-9071,Bingo Manager
11-9071,Casino Manager
11-9071,Gambling Department Head
11-9071,Gambling Director
11-9071,Gambling Manager
11-9071,Slot Operations Director
11-9071,Slots Manager
11-9071,Table Games Manager
11-9072,Amusement Park Manager
11-9072,Boat Club Manager
11-9072,Fitness Club Manager
11-9072,Golf Club Manager
11-9072,Marina Club Manager
11-9072,Skating Rink Manager
11-9072,Ski Resort Manager
11-9072,Tennis Club Manager
11-9072,Theme Park Manager
11-9081,Bed and Breakfast Innkeeper
11-9081,Boardinghouse Keeper
11-9081,Hotel Director
11-9081,Hotel Manager
11-9081,Hotel Operations Manager
11-9081,Innkeeper
11-9081,Lodging Facilities Manager
11-9111,Chief Medical Information Officer
11-9111,Clinic Director
11-9111,Clinical Informatics Director
11-9111,Clinical Services Director
11-9111,Emergency Medical Service Coordinator
11-9111,Health Care Manager
11-9111,Health Information Services Manager
11-9111,Health Services Administrator
11-9111,Health Services Director
11-9111,Healthcare Administrator
11-9111,Healthcare Manager
11-9111,Hospice Director
11-9111,Hospice Plan Administrator
11-9111,Hospital Administrator
11-9111,Hospital Director
11-9111,Medical and Health Information Manager
11-9111,Medical Director
11-9111,Medical Records Administrator
11-9111,Mental Health Program Manager
11-9111,Nursing Home Manager
11-9111,Nursing Service Director
11-9111,Occupational Therapy Director
11-9111,Public Health Administrator
11-9111,Respiratory Therapy Director
11-9111,Speech and Hearing Therapy Director
11-9111,Wellness Director
11-9111,Wellness Manager
11-9121,Agricultural Research Director
11-9121,Geochemical Manager
11-9121,Geophysical Manager
11-9121,Ocean Program Administrator
11-9131,Postal Supervisor
11-9131,Postmaster
11-9141,Apartment Manager
11-9141,Building Rental Manager
11-9141,Community Association Manager
11-9141,Condominium Association Manager
11-9141,Homeowner Association Manager
11-9141,Land Acquisition Manager
11-9141,Leasing Property Manager
11-9141,Property Manager
11-9141,Real Estate Manager
11-9151,Child Welfare Director
11-9151,Community Service Director
11-9151,Community Service Organization Director
11-9151,Family Service Center Director
11-9151,Neighborhood Service Center Director
11-9151,Social Service Director
11-9151,Social Services Director
11-9151,Youth Program Director
11-9161,Director of Civil Defense
11-9161,Disaster Response Director
11-9161,Emergency Management System Director
11-9161,Emergency Planner
11-9161,Emergency Planning and Response Manager
11-9161,Emergency Preparedness Coordinator
11-9161,Emergency Services Director
11-9161,Emergency Services Program Coordinator
11-9161,EMS Director
11-9161,Public Safety Director
11-9171,Funeral Home Director
11-9171,Funeral Home Manager
11-9171,Funeral Service Manager
11-9179,Day Spa Director
11-9179,Nail Salon Manager
11-9179,Travel Agency Manager
11-9199,Clerk of Court
11-9199,Environmental Control Administrator
11-9199,Highway Patrol Commander
11-9199,Safety Coordinator
11-9199,Social Science Manager
11-9199,Utilities Manager
13-1011,Artist Manager
13-1011,Artist Representative
13-1011,Author's Agent
13-1011,Band Manager
13-1011,Booking Agent
13-1011,Booking Manager
13-1011,Fight Manager
13-1011,Literary Agent
13-1011,Modeling Agent
13-1011,Talent Agent
13-1011,Talent Manager
13-1011,Theatrical Agent
13-1021,Cattle Buyer
13-1021,Cotton Broker
13-1021,Cotton Buyer
13-1021,Fruit Buyer
13-1021,Grain Buyer
13-1021,Hog Buyer
13-1021,Livestock Buyer
13-1021,Oyster Buyer
13-1021,"Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products"
13-1021,Tobacco Buyer
13-1022,Gold Buyer
13-1022,Merchandise Buyer
13-1022,Retail Buyer
13-1022,Tie Buyer
13-1022,Wholesale Buyer
13-1023,"Equipment, Supplies, and Tools Purchasing Agent"
13-1023,Radio Time Buyer
13-1031,Claims Analyst
13-1031,Fire Claims Adjuster
13-1031,Health Claims Examiner
13-1031,Health Insurance Adjuster
13-1031,Independent Insurance Adjuster
13-1031,Medical Claims Analyst
13-1031,Medical Claims Examiner
13-1031,Property and Casualty Insurance Claims Examiner
13-1031,Property Damage Claims Adjustor
13-1031,Reinsurance Claims Analyst
13-1031,Workers Compensation Claims Adjuster
13-1031,Workers Compensation Claims Examiner
13-1032,Auto Damage Appraiser
13-1032,Auto Damage Insurance Appraiser
13-1032,Automobile Damage Appraiser
13-1032,Vehicle Damage Appraiser
13-1041,Air Pollution Compliance Inspector
13-1041,Compliance Investigator
13-1041,Driver's License Examiner
13-1041,EEO Officer
13-1041,Environmental Compliance Inspector
13-1041,Equal Employment Opportunity Investigator
13-1041,Equal Employment Opportunity Officer
13-1041,Equal Employment Opportunity Representative
13-1041,Immigration Investigator
13-1041,Inspector of Weights and Measures
13-1041,License Inspector
