2018 SOC Code,Description
11-1011,Admiral
11-1011,Board chairman
11-1011,Board member
11-1011,Bureau chief
11-1011,CEO (chief executive officer)
11-1011,CFO (chief financial officer)
11-1011,Chairman of the board
11-1011,Chancellor
11-1011,Chief executive officer (CEO)
11-1011,Chief financial officer (CFO)
11-1011,Chief information officer (CIO)
11-1012,Chief of Staff
11-1011,Chief operating officer
11-1011,Chief operating officer (COO)
11-1011,CIO (chief information officer)
11-1011,CISO (Chief information security officer)
11-1011,City superintendent
11-1011,City superintendent of schools
11-1011,College president
11-1011,Commissioner of internal revenue
11-1011,COO (Chief Operating Officer)
11-1011,Corporation officer
11-1011,County administrator
11-1011,County commissioner
11-1011,County superintendent of schools
11-1012,CTO (Chief Technology Officer)
11-1011,Governor
11-1011,Health commissioner
11-1011,Highway commissioner
11-1011,Insurance commissioner
11-1011,Labor commissioner
11-1011,Lieutenant governor
11-1011,Liquor commissioner
11-1011,Manager city
11-1011,Manager president
11-1011,Manager vice president
11-1011,Mayor
11-1011,President
11-1011,Railroad commissioner
11-1011,Road commissioner
11-1011,School commissioner
11-1011,School superintendent
11-1011,Secretary of state
11-1011,State superintendent of public instruction
11-1011,State superintendent of schools
11-1011,Superintendent schools
11-1011,Supervisor city
11-1011,Supervisor county
11-1011,Supervisor township
11-1011,Tax commissioner
11-1011,University president
11-1011,US commissioner
11-1011,Veep (vice president)
11-1011,Vice chancellor
11-1011,Vice president
11-1011,VP (Vice President)
11-1011,Water commissioner
11-1021,Adjutant general
11-1021,Business administrator
11-1021,Chief deputy exc police and sheriff
11-1022,Chief of Staff
11-1021,Department store manager
11-1021,District commercial superintendent
11-1021,District plant superintendent
11-1021,District traffic chief
11-1021,District wire chief
11-1021,Division toll wire chief
11-1021,Division traffic superintendent
11-1021,Electrical superintendent
11-1021,General superintendent
11-1021,Installation superintendent\ ns
11-1021,Lease operator
11-1021,Manager brokerage office
11-1021,Manager department store
11-1021,Manager district
11-1021,Manager field party
11-1021,Manager general
11-1021,Manager general operations
11-1021,Manager industrial organization
11-1021,Manager operational risk
11-1021,Manager operations
11-1021,Manager radio station
11-1021,Manager television station
11-1021,Manager\ ns
11-1021,Mine superintendent
11-1021,Oil lease operator
11-1021,Oil operator
11-1021,Oil producer
11-1021,Operational risk manager
11-1021,Park superintendent
11-1021,Producer
11-1021,Refinery superintendent
11-1021,Relocation commissioner
11-1021,Revenue director
11-1021,Shift superintendent\ ns
11-1021,Shop superintendent
11-1021,Social insurance administrator
11-1021,Street commissioner
11-1021,Street superintendent
11-1021,Substation superintendent
11-1021,Superintendent drilling and production
11-1021,Superintendent laundry
11-1021,Superintendent line construction
11-1021,Superintendent maintenance of equipment
11-1021,Superintendent roads
11-1021,Superintendent\ ns
11-1021,Supervisor mine administrator
11-1021,Supervisor operations
11-1021,Supervisor plant
11-1021,Supervisor water and sewer systems
11-1021,Supervisor water control
11-1021,Supervisor waterworks
11-1021,Television station manager
11-1021,Under secretary
11-1021,Water superintendent
11-1021,Zoo director
11-1031,Alderman
11-1031,Assembly member
47-2152,Assemblyman or woman
11-1031,City alderman
11-1031,City council member
11-1031,City councilman
11-1031,Committeeperson
11-1031,Congressional representative
11-1031,Congressman
11-1031,Council member
11-1031,Councilman
11-1031,Delegate
11-1031,Legislator
11-1031,Member
11-1031,Member of congress
11-1031,Representative
11-1031,Selectman
11-1031,Senator
11-1031,State representative
11-1031,Tribal council member
11-1031,Tribal delegate
11-1031,US representative
11-1031,US senator
11-2011,Account executive
11-2011,Advertising director
11-2011,Advertising executive
11-2011,Campaign director
11-2011,Circulation director
11-2011,Manager advertising
11-2011,Manager circulation
11-2011,Manager promotion
11-2011,Media director
11-2011,Promotions director
11-2021,Director of marketing
11-2021,Fashion coordinator
11-2021,Fashion stylist
11-2021,Internet marketing
11-2021,Internet marketing manager
11-2021,Manager marketing
11-2021,Marketing administrator
11-2021,Marketing agent
11-2021,Marketing director
11-2021,Marketing representative
11-2022,Clothier
11-2022,Department store manager
11-2022,Director of sales
11-2022,District sales manager
11-2022,Division head
11-2022,Export manager
11-2022,Liquidator
11-2022,Manager dealership
11-2022,Manager department store
11-2022,Manager district
11-2022,Manager division
11-2022,Manager e-commerce
11-2022,Manager export
11-2022,Manager regional sales
11-2022,Manager sales
11-2022,Manager zone
11-2022,Sales coordinator
11-2022,Sales director
11-2022,Sales executive
11-2030,Coordinator of funding
11-2030,Director of development
11-2030,Director of foundation
11-2030,Director of fundraising
11-2030,Director of information exc computer
11-2030,Director of public affairs
11-2030,Director of public information
11-2030,Director of public relations
11-2030,Director of publicity
11-2030,Donor relations manager
11-2030,Foundation director
11-2030,Funding coordinator
11-2030,Fundraising director
11-2030,Information director
11-2030,Manager communications
11-2030,Manager donor relations
11-2030,Manager fundraising
11-2030,Manager public information relations
11-2030,Manager public relations
11-2030,Manager publicity
11-2030,Proposal development manager
11-2030,Public affairs director
11-2030,Public information director
11-2030,Public relations director
11-2030,Publicity director
11-2030,Supervisor public relations
11-3012,Director of records management
11-3012,Manager administrative services
11-3012,Manager customer service
11-3012,Records and information manager
11-3012,Records management director
11-9030,Registrar college
11-3012,University registrar
11-3013,Conference center manager
11-3013,Director of university housing
11-3013,Maintenance superintendent managerial
11-3013,Manager building exc rental
11-3013,Manager facilities
11-3013,Manager property disposal
11-3013,Manager property utilization
11-3013,Space officer
11-3013,Stadium manager
11-3013,Superintendent maintenance managerial
11-1011,Chief sustainability officer
11-3021,Chief technology officer
11-3021,Chief Technology Officer (CTO)
11-3021,Computer consultant systems management
11-3021,Computing services director
11-3021,Director of application development
11-3021,Director of information computer systems
11-3021,Director of network
11-3021,Enterprise resource planner
11-3021,Information technology planning and policy analyst
11-3021,Information technology systems director
11-3021,Management information systems director
11-3021,Manager computer operations
11-3021,Manager computer programming
11-3021,Manager data processing
11-3021,Manager data systems
11-3021,Manager information systems
11-3021,Manager internet technology
11-3021,Manager network
11-3021,Manager systems development
11-3021,Manager technical services
11-3021,Manager\ ns
11-3021,Scrum master computer
11-3031,Bank advisor
11-3031,Bank branch manager
11-3031,Bank cashier associate degree or higher
11-3031,Bank consultant
11-3031,Bank director
11-3031,Bank president
11-3031,Banker
11-3031,Budget director
11-3031,Cashier bank associate degree or higher
11-3031,Cashier\ ns associate degree or higher
11-3031,City comptroller
11-3031,City controller
11-3031,City treasurer
11-3031,Comptroller
11-3031,Controller\ ns
11-3031,County treasurer
11-3031,Financial director
11-3031,Financial officer
11-3031,Financier
11-3031,Fiscal officer
11-3031,Foreign exchange dealer
11-3031,Manager account
11-3031,Manager accounting
11-3031,Manager actuarial
11-3031,Manager ATM
11-3031,Manager auditing
11-3031,Manager bank
11-3031,Manager billing
11-3031,Manager branch
11-3031,Manager branch of financial institution
11-3031,Manager budget
11-3031,Manager collections
11-3031,Manager credit
11-3031,Manager credit and collection
11-3031,Manager credit department
11-3031,Manager credit office
11-3031,Manager credit union
11-3031,Manager district
