SOC Code 2018,Occupation
,Chief Executives
11-1011,Chief Executives
,General and Operations Managers
11-1021,General and Operations Managers
,Legislators
11-1031,Legislators
,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,Advertising and Promotions Managers
11-2011,Advertising and Promotions Managers
,Marketing and Sales Managers
11-2021,Marketing Managers
11-2022,Sales Managers
,Public Relations and Fundraising Managers
11-2032,Public Relations Managers
11-2033,Fundraising Managers
,Operations Specialties Managers
,Administrative Services and Facilities Managers
11-3012,Administrative Services Managers
11-3013,Facilities Managers
,Computer and Information Systems Managers
11-3021,Computer and Information Systems Managers
,Financial Managers
11-3031,Financial Managers
,Industrial Production Managers
11-3051,Industrial Production Managers
,Purchasing Managers
11-3061,Purchasing Managers
,"Transportation, Storage, and Distribution Managers"
11-3071,"Transportation, Storage, and Distribution Managers"
,Compensation and Benefits Managers
11-3111,Compensation and Benefits Managers
,Human Resources Managers
11-3121,Human Resources Managers
,Training and Development Managers
11-3131,Training and Development Managers
,Other Management Occupations
,"Farmers, Ranchers, and Other Agricultural Managers"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
,Construction Managers
11-9021,Construction Managers
,Education and Childcare Administrators
11-9031,"Education and Childcare Administrators, Preschool and Daycare"
11-9032,"Education Administrators, Kindergarten through Secondary"
11-9033,"Education Administrators, Postsecondary"
11-9039,"Education Administrators, All Other"
,Architectural and Engineering Managers
11-9041,Architectural and Engineering Managers
,Food Service Managers
11-9051,Food Service Managers
,Entertainment and Recreation Managers
11-9071,Gambling Managers
11-9072,"Entertainment and Recreation Managers, Except Gambling"
,Lodging Managers
11-9081,Lodging Managers
,Medical and Health Services Managers
11-9111,Medical and Health Services Managers
,Natural Sciences Managers
11-9121,Natural Sciences Managers
,Postmasters and Mail Superintendents
11-9131,Postmasters and Mail Superintendents
,"Property, Real Estate, and Community Association Managers"
11-9141,"Property, Real Estate, and Community Association Managers"
,Social and Community Service Managers
11-9151,Social and Community Service Managers
,Emergency Management Directors
11-9161,Emergency Management Directors
,Personal Service Managers
11-9171,Funeral Home Managers
11-9179,"Personal Service Managers, All Other"
,Miscellaneous Managers
11-9199,"Managers, All Other"
,Business and Financial Operations Occupations
,Business Operations Specialists
,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
,Buyers and Purchasing Agents
13-1021,"Buyers and Purchasing Agents, Farm Products"
13-1022,"Wholesale and Retail Buyers, Except Farm Products"
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-1031,"Claims Adjusters, Examiners, and Investigators"
13-1032,"Insurance Appraisers, Auto Damage"
,Compliance Officers
13-1041,Compliance Officers
,Cost Estimators
13-1051,Cost Estimators
,Human Resources Workers
13-1071,Human Resources Specialists
13-1074,Farm Labor Contractors
13-1075,Labor Relations Specialists
,Logisticians and Project Management Specialists
13-1081,Logisticians
13-1082,Project Management Specialists
,Management Analysts
13-1111,Management Analysts
,"Meeting, Convention, and Event Planners"
13-1121,"Meeting, Convention, and Event Planners"
,Fundraisers
13-1131,Fundraisers
,"Compensation, Benefits, and Job Analysis Specialists"
13-1141,"Compensation, Benefits, and Job Analysis Specialists"
,Training and Development Specialists
13-1151,Training and Development Specialists
,Market Research Analysts and Marketing Specialists
13-1161,Market Research Analysts and Marketing Specialists
,Miscellaneous Business Operations Specialists
13-1199,"Business Operations Specialists, All Other"
,Financial Specialists
,Accountants and Auditors
13-2011,Accountants and Auditors
,Property Appraisers and Assessors
13-2022,Appraisers of Personal and Business Property
13-2023,Appraisers and Assessors of Real Estate
,Budget Analysts
13-2031,Budget Analysts
,Credit Analysts
13-2041,Credit Analysts
,Financial Analysts and Advisors
13-2051,Financial and Investment Analysts
13-2052,Personal Financial Advisors
13-2053,Insurance Underwriters
13-2054,Financial Risk Specialists
,Financial Examiners
13-2061,Financial Examiners
,Credit Counselors and Loan Officers
13-2071,Credit Counselors
13-2072,Loan Officers
,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
13-2081,"Tax Examiners and Collectors, and Revenue Agents"
13-2082,Tax Preparers
,Miscellaneous Financial Specialists
13-2099,"Financial Specialists, All Other"
,Computer and Mathematical Occupations
,Computer Occupations
,Computer and Information Analysts
15-1211,Computer Systems Analysts
15-1212,Information Security Analysts
,Computer and Information Research Scientists
15-1221,Computer and Information Research Scientists
,Computer Support Specialists
15-1231,Computer Network Support Specialists
15-1232,Computer User Support Specialists
,Database and Network Administrators and Architects
15-1241,Computer Network Architects
15-1242,Database Administrators
15-1243,Database Architects
15-1244,Network and Computer Systems Administrators
,"Software and Web Developers, Programmers, and Testers"
15-1251,Computer Programmers
15-1252,Software Developers
15-1253,Software Quality Assurance Analysts and Testers
15-1254,Web Developers
15-1255,Web and Digital Interface Designers
,Miscellaneous Computer Occupations
15-1299,"Computer Occupations, All Other"
,Mathematical Science Occupations
,Actuaries
15-2011,Actuaries
,Mathematicians
15-2021,Mathematicians
,Operations Research Analysts
15-2031,Operations Research Analysts
,Statisticians
15-2041,Statisticians
,Data Scientists
15-2051,Data Scientists
,Miscellaneous Mathematical Science Occupations
15-2099,"Mathematical Science Occupations, All Other"
,Architecture and Engineering Occupations
,"Architects, Surveyors, and Cartographers"
,"Architects, Except Naval"
17-1011,"Architects, Except Landscape and Naval"
17-1012,Landscape Architects
